date,black_carbon_880nm
2024-06-09,0.403
2024-06-10,0.337
2024-06-11,0.48
2024-06-12,0.663
2024-06-13,0.667
2024-06-14,0.763
2024-06-15,0.563
2024-06-16,0.42
2024-06-17,0.633
2024-06-18,0.563
2024-06-19,0.6
2024-06-20,1.03
2024-06-21,0.68
2024-06-22,0.463
2024-06-23,0.507
2024-06-24,0.807
2024-06-25,0.893
2024-06-26,0.983
2024-06-27,0.397
2024-06-28,0.463
2024-06-29,0.677
2024-06-30,0.43
2024-07-01,0.587
2024-07-02,0.605
2024-07-03,0.765
2024-07-04,0.373
2024-07-05,0.74
2024-07-06,0.583
2024-07-07,0.5
2024-07-08,0.647
2024-07-09,0.687
2024-07-10,0.443
2024-07-11,0.747
2024-07-12,0.46
2024-07-13,0.47
2024-07-14,0.415
2024-07-15,0.91
2024-07-16,0.905
2024-07-17,1.245
2024-07-18,0.505
2024-07-19,0.525
2024-07-20,0.783
2024-07-21,0.463
2024-07-22,0.49
2024-07-23,0.635
2024-07-24,0.91
2024-07-25,0.563
2024-07-26,0.553
2024-07-27,0.997
2024-07-28,1.15
2024-07-29,1.177
2024-07-30,0.883
2024-07-31,0.877
2024-08-01,0.977
2024-08-02,0.86
2024-08-03,0.457
2024-08-04,0.205
2024-08-05,0.25
2024-08-06,0.597
2024-08-07,0.517
2024-08-08,0.653
2024-08-09,0.42
2024-08-10,0.693
2024-08-11,1.163
2024-08-12,0.863
2024-08-13,0.703
2024-08-14,0.87
2024-08-15,0.79
2024-08-16,0.803
2024-08-17,0.69
2024-08-18,0.63
2024-08-19,1.107
2024-08-20,0.42
2024-08-21,0.423
2024-08-22,0.433
2024-08-23,0.41
2024-08-24,0.583
2024-08-25,0.47
2024-08-26,0.76
2024-08-27,0.94
2024-08-28,1.04
2024-08-29,0.82
2024-08-30,1.05
2024-08-31,0.573
2024-09-01,0.58
2024-09-02,1.297
2024-09-03,0.44
2024-09-04,0.46
2024-09-05,0.693
2024-09-06,1.253
2024-09-07,1.37
2024-09-08,0.79
2024-09-09,0.477
2024-09-10,0.623
2024-09-11,0.577
2024-09-12,0.763
2024-09-13,1.343
2024-09-14,0.863
2024-09-15,0.75
2024-09-16,1.273
2024-09-17,1.32
2024-09-18,0.59
2024-09-19,0.857
2024-09-20,1.223
2024-09-21,1.21
2024-09-22,0.973
2024-09-23,1.17
2024-09-24,0.807
2024-09-25,0.937
2024-09-26,0.425
2024-09-27,0.533
2024-09-28,0.987
2024-09-29,0.67
2024-09-30,0.677
2024-10-01,0.703
2024-10-02,0.553
2024-10-03,1.467
2024-10-04,1.573
2024-10-05,0.91
2024-10-06,0.777
2024-10-07,0.697
2024-10-08,0.795
2024-10-09,0.58
2024-10-10,0.81
2024-10-11,1.78
2024-10-12,0.987
2024-10-13,0.693
2024-10-14,0.95
2024-10-15,0.997
2024-10-16,1.24
2024-10-17,1.207
2024-10-18,0.837
2024-10-19,1.13
2024-10-20,0.387
2024-10-21,0.947
2024-10-22,1.377
2024-10-23,1.007
2024-10-24,0.817
2024-10-25,1.693
2024-10-26,1.787
2024-10-27,0.75
2024-10-28,0.31
2024-10-29,0.71
2024-10-30,0.535
2024-10-31,1.783
2024-11-01,1.247
2024-11-02,1.453
2024-11-03,0.833
2024-11-04,1.26
2024-11-05,1.55
2024-11-06,1.65
2024-11-07,0.957
2024-11-08,2.047
2024-11-09,1.917
2024-11-10,1.427
2024-11-11,1.59
2024-11-12,1.263
2024-11-13,1.723
2024-11-14,2.477
2024-11-15,2.03
2024-11-16,0.83
2024-11-17,0.723
2024-11-18,1.027
2024-11-19,1.123
2024-11-20,1.067
2024-11-21,2.523
2024-11-22,1.07
2024-11-23,0.503
2024-11-24,0.363
2024-11-25,0.46
2024-11-26,2.067
2024-11-27,1.97
2024-11-28,2.045
2024-11-29,0.6
2024-11-30,1.027
2024-12-01,0.627
2024-12-02,0.63
2024-12-03,1.16
2024-12-04,0.65
2024-12-05,0.46
2024-12-06,0.61
2024-12-07,0.18
2024-12-08,0.217
2024-12-09,0.387
2024-12-10,0.36
2024-12-11,0.407
2024-12-12,0.847
2024-12-13,1.027
2024-12-14,0.79
2024-12-15,0.303
2024-12-16,0.633
2024-12-17,0.723
2024-12-18,0.547
2024-12-19,0.63
2024-12-20,0.9
2024-12-21,0.357
2024-12-22,0.237
2024-12-23,0.913
2024-12-24,1.495
2024-12-25,0.89
2024-12-26,0.815
2024-12-27,1.12
2024-12-28,0.913
2024-12-29,0.447
2024-12-30,0.413
2024-12-31,0.283
2025-01-01,0.39
2025-01-02,0.626
2025-01-03,0.953
2025-01-04,1.503
2025-01-05,0.87
2025-01-06,0.63
2025-01-07,0.767
2025-01-08,3.39
2025-01-09,1.885
2025-01-10,5.48
2025-01-11,5.0
2025-01-12,2.575
2025-01-13,2.859
2025-01-14,0.59
2025-01-15,1.42
2025-01-16,1.817
2025-01-17,1.217
2025-01-18,0.993
2025-01-19,1.333
2025-01-20,1.953
2025-01-21,1.5
2025-01-22,2.787
2025-01-23,0.99
2025-01-24,0.95
2025-01-25,0.923
2025-01-26,0.473
2025-01-27,0.47
2025-01-28,1.0
2025-01-29,1.117
2025-01-30,1.277
2025-01-31,0.583
2025-02-01,0.21
2025-02-02,0.15
2025-02-03,0.71
2025-02-04,0.413
2025-02-05,2.1
2025-02-06,1.84
2025-02-07,0.435
2025-02-08,1.117
2025-02-09,1.46
2025-02-10,0.895
2025-02-11,1.205
2025-02-12,1.707
2025-02-13,1.07
2025-02-14,1.07
2025-02-15,1.54
2025-02-16,1.12
2025-02-17,0.8
2025-02-18,1.06
2025-02-19,1.89
2025-02-20,0.63
2025-02-21,0.53
2025-02-22,0.917
2025-02-23,0.43
2025-02-24,0.7
2025-02-25,0.647
2025-02-26,0.597
2025-02-27,0.835
2025-02-28,2.16
2025-03-01,3.18
2025-03-02,3.045
2025-03-03,1.68
2025-03-04,1.607
2025-03-05,1.455
2025-03-06,1.93
2025-03-07,1.03
2025-03-08,1.67
2025-03-09,1.835
2025-03-10,2.08
2025-03-11,0.56
2025-03-12,0.783
2025-03-13,0.545
2025-03-14,0.665
2025-03-15,0.46
2025-03-16,0.527
2025-03-17,0.47
2025-03-18,0.617
2025-03-19,2.833
2025-03-20,3.9
2025-03-21,1.365
2025-03-22,0.725
2025-03-23,1.025
2025-03-24,1.615
2025-03-25,0.77
2025-03-26,1.043
2025-03-27,0.587
2025-03-28,0.443
2025-03-29,0.437
2025-03-30,0.45
2025-03-31,1.235
2025-04-01,0.45
2025-04-02,0.585
2025-04-03,1.085
2025-04-04,0.727
2025-04-05,0.393
2025-04-06,0.413
2025-04-07,0.63
2025-04-08,0.975
2025-04-09,0.905
2025-04-10,1.91
2025-04-11,0.85
2025-04-12,1.573
2025-04-13,0.637
2025-04-14,0.765
2025-04-15,0.785
2025-04-16,0.47
2025-04-17,0.955
2025-04-18,0.735
2025-04-19,1.28
2025-04-20,0.64
2025-04-21,1.24
2025-04-22,1.42
2025-04-23,0.4
2025-04-24,0.953
2025-04-25,0.787
2025-04-26,1.14
2025-04-27,0.75
2025-04-28,2.54
2025-04-29,1.87
2025-04-30,1.88
2025-05-01,2.37
2025-05-02,0.96
2025-05-03,0.47
2025-05-04,0.223
2025-05-05,0.3
2025-05-06,0.58
2025-05-07,0.797
2025-05-08,0.305
2025-05-09,0.715
2025-05-10,0.957
2025-05-11,0.737
2025-05-12,1.137
2025-05-13,0.567
2025-05-14,0.577
2025-05-15,0.453
2025-05-16,0.735
2025-05-18,0.694
2025-05-19,0.6
2025-05-20,0.61
2025-05-21,0.52
2025-05-22,0.5
2025-05-23,0.6
2025-05-24,0.57
2025-05-25,0.233
2025-05-26,0.287
2025-05-27,0.17
2025-05-28,0.26
2025-05-29,0.377
2025-05-30,0.56
2025-05-31,0.56
2025-06-01,0.32
2025-06-02,0.507
2025-06-03,0.35
2025-06-04,0.423
2025-06-05,0.6
2025-06-06,0.155
2025-06-07,0.23
2025-06-08,0.265
