date,UV_particulate_matter_370nm
2024-06-09,0.467
2024-06-10,0.363
2024-06-11,0.517
2024-06-12,0.747
2024-06-13,0.71
2024-06-14,0.84
2024-06-15,0.61
2024-06-16,0.46
2024-06-17,0.677
2024-06-18,0.62
2024-06-19,0.707
2024-06-20,1.12
2024-06-21,0.733
2024-06-22,0.493
2024-06-23,0.547
2024-06-24,0.9
2024-06-25,0.967
2024-06-26,1.067
2024-06-27,0.45
2024-06-28,0.517
2024-06-29,0.723
2024-06-30,0.477
2024-07-01,0.643
2024-07-02,0.635
2024-07-03,0.815
2024-07-04,0.39
2024-07-05,0.82
2024-07-06,0.64
2024-07-07,0.543
2024-07-08,0.677
2024-07-09,0.723
2024-07-10,0.483
2024-07-11,0.807
2024-07-12,0.515
2024-07-13,0.52
2024-07-14,0.47
2024-07-15,1.06
2024-07-16,0.97
2024-07-17,1.305
2024-07-18,0.585
2024-07-19,0.615
2024-07-20,0.85
2024-07-21,0.507
2024-07-22,0.537
2024-07-23,0.69
2024-07-24,0.975
2024-07-25,0.607
2024-07-26,0.59
2024-07-27,1.097
2024-07-28,1.313
2024-07-29,1.333
2024-07-30,0.987
2024-07-31,0.997
2024-08-01,1.107
2024-08-02,0.947
2024-08-03,0.517
2024-08-04,0.225
2024-08-05,0.255
2024-08-06,0.613
2024-08-07,0.55
2024-08-08,0.667
2024-08-09,0.433
2024-08-10,0.777
2024-08-11,1.37
2024-08-12,0.963
2024-08-13,0.75
2024-08-14,0.94
2024-08-15,0.85
2024-08-16,0.887
2024-08-17,0.767
2024-08-18,0.683
2024-08-19,1.177
2024-08-20,0.467
2024-08-21,0.453
2024-08-22,0.457
2024-08-23,0.447
2024-08-24,0.623
2024-08-25,0.477
2024-08-26,0.837
2024-08-27,1.05
2024-08-28,1.17
2024-08-29,0.9
2024-08-30,1.15
2024-08-31,0.603
2024-09-01,0.64
2024-09-02,1.407
2024-09-03,0.49
2024-09-04,0.53
2024-09-05,0.743
2024-09-06,1.46
2024-09-07,1.503
2024-09-08,0.87
2024-09-09,0.517
2024-09-10,0.673
2024-09-11,0.593
2024-09-12,0.86
2024-09-13,1.507
2024-09-14,0.99
2024-09-15,0.843
2024-09-16,1.45
2024-09-17,1.49
2024-09-18,0.67
2024-09-19,0.997
2024-09-20,1.393
2024-09-21,1.407
2024-09-22,1.083
2024-09-23,1.297
2024-09-24,0.927
2024-09-25,1.05
2024-09-26,0.505
2024-09-27,0.603
2024-09-28,1.187
2024-09-29,0.91
2024-09-30,0.753
2024-10-01,0.793
2024-10-02,0.657
2024-10-03,1.657
2024-10-04,1.897
2024-10-05,1.133
2024-10-06,1.037
2024-10-07,0.783
2024-10-08,0.885
2024-10-09,0.68
2024-10-10,0.97
2024-10-11,2.12
2024-10-12,1.19
2024-10-13,0.897
2024-10-14,1.203
2024-10-15,1.16
2024-10-16,1.46
2024-10-17,1.307
2024-10-18,0.897
2024-10-19,1.25
2024-10-20,0.437
2024-10-21,1.007
2024-10-22,1.573
2024-10-23,1.157
2024-10-24,0.967
2024-10-25,2.05
2024-10-26,2.037
2024-10-27,0.85
2024-10-28,0.44
2024-10-29,0.86
2024-10-30,0.62
2024-10-31,2.043
2024-11-01,1.463
2024-11-02,2.067
2024-11-03,1.133
2024-11-04,1.517
2024-11-05,1.88
2024-11-06,2.093
2024-11-07,1.08
2024-11-08,1.71
2024-11-09,2.303
2024-11-10,1.943
2024-11-11,2.063
2024-11-12,1.707
2024-11-13,2.297
2024-11-14,3.053
2024-11-15,2.533
2024-11-16,1.033
2024-11-17,0.977
2024-11-18,1.217
2024-11-19,1.507
2024-11-20,1.32
2024-11-21,2.767
2024-11-22,1.41
2024-11-23,0.637
2024-11-24,0.413
2024-11-25,0.513
2024-11-26,2.603
2024-11-27,2.603
2024-11-28,2.9
2024-11-29,0.88
2024-11-30,1.09
2024-12-01,0.733
2024-12-02,0.727
2024-12-03,1.535
2024-12-04,0.88
2024-12-05,0.5
2024-12-06,0.663
2024-12-07,0.203
2024-12-08,0.267
2024-12-09,0.48
2024-12-10,0.433
2024-12-11,0.507
2024-12-12,1.057
2024-12-13,1.333
2024-12-14,0.917
2024-12-15,0.353
2024-12-16,0.733
2024-12-17,0.83
2024-12-18,0.64
2024-12-19,0.703
2024-12-20,1.06
2024-12-21,0.4
2024-12-22,0.26
2024-12-23,1.057
2024-12-24,1.68
2024-12-25,1.15
2024-12-26,0.95
2024-12-27,1.39
2024-12-28,1.167
2024-12-29,0.56
2024-12-30,0.477
2024-12-31,0.323
2025-01-01,0.56
2025-01-02,0.775
2025-01-03,1.34
2025-01-04,2.19
2025-01-05,1.045
2025-01-06,0.755
2025-01-07,0.957
2025-01-08,4.275
2025-01-09,2.73
2025-01-10,6.78
2025-01-11,6.53
2025-01-12,3.296
2025-01-13,3.671
2025-01-14,0.86
2025-01-15,1.97
2025-01-16,2.37
2025-01-17,1.503
2025-01-18,1.263
2025-01-19,1.777
2025-01-20,2.753
2025-01-21,1.99
2025-01-22,3.547
2025-01-23,1.24
2025-01-24,0.81
2025-01-25,1.2
2025-01-26,0.633
2025-01-27,0.675
2025-01-28,1.105
2025-01-29,1.337
2025-01-30,1.563
2025-01-31,0.773
2025-02-01,0.277
2025-02-02,0.23
2025-02-03,0.84
2025-02-04,0.47
2025-02-05,3.34
2025-02-06,2.86
2025-02-07,0.56
2025-02-08,1.407
2025-02-09,1.87
2025-02-10,1.15
2025-02-11,1.64
2025-02-12,2.257
2025-02-13,1.36
2025-02-14,1.325
2025-02-15,2.047
2025-02-16,1.61
2025-02-17,1.025
2025-02-18,1.34
2025-02-19,2.66
2025-02-20,0.735
2025-02-21,0.653
2025-02-22,1.093
2025-02-23,0.505
2025-02-24,0.78
2025-02-25,0.78
2025-02-26,0.673
2025-02-27,0.95
2025-02-28,2.615
2025-03-01,4.563
2025-03-02,4.19
2025-03-03,2.167
2025-03-04,2.053
2025-03-05,1.925
2025-03-06,2.465
2025-03-07,1.34
2025-03-08,2.225
2025-03-09,2.485
2025-03-10,2.513
2025-03-11,0.68
2025-03-12,0.933
2025-03-13,0.705
2025-03-14,0.87
2025-03-15,0.737
2025-03-16,0.777
2025-03-17,0.59
2025-03-18,0.783
2025-03-19,3.407
2025-03-20,4.82
2025-03-21,1.65
2025-03-22,0.985
2025-03-23,1.2
2025-03-24,1.925
2025-03-25,0.93
2025-03-26,1.545
2025-03-27,0.663
2025-03-28,0.66
2025-03-29,0.645
2025-03-30,0.54
2025-03-31,1.94
2025-04-01,0.54
2025-04-02,0.665
2025-04-03,1.23
2025-04-04,0.877
2025-04-05,0.457
2025-04-06,0.49
2025-04-07,0.75
2025-04-08,1.15
2025-04-09,1.08
2025-04-10,2.18
2025-04-11,0.998
2025-04-12,1.917
2025-04-13,0.76
2025-04-14,0.85
2025-04-15,0.985
2025-04-16,0.81
2025-04-17,1.125
2025-04-18,0.89
2025-04-19,1.27
2025-04-20,0.73
2025-04-21,1.43
2025-04-22,1.47
2025-04-23,1.104
2025-04-24,1.152
2025-04-25,0.907
2025-04-26,1.31
2025-04-27,0.935
2025-04-28,2.84
2025-04-29,2.07
2025-04-30,2.165
2025-05-01,1.8
2025-05-02,1.11
2025-05-03,0.635
2025-05-04,0.305
2025-05-05,0.393
2025-05-06,0.667
2025-05-07,0.943
2025-05-08,0.36
2025-05-09,0.855
2025-05-10,1.137
2025-05-11,0.973
2025-05-12,1.293
2025-05-13,0.653
2025-05-14,0.643
2025-05-15,0.573
2025-05-16,0.875
2025-05-18,0.827
2025-05-19,0.67
2025-05-20,0.65
2025-05-21,0.625
2025-05-22,0.56
2025-05-23,0.805
2025-05-24,0.79
2025-05-25,0.53
2025-05-26,0.41
2025-05-27,0.19
2025-05-28,0.38
2025-05-29,0.53
2025-05-30,1.18
2025-05-31,0.74
2025-06-01,0.363
2025-06-02,0.527
2025-06-03,0.377
2025-06-04,0.443
2025-06-05,0.86
2025-06-06,0.641
2025-06-07,0.275
2025-06-08,0.355
