date,yellow_particulate_matter_590nm
2024-06-09,0.43
2024-06-10,0.347
2024-06-11,0.503
2024-06-12,0.703
2024-06-13,0.693
2024-06-14,0.813
2024-06-15,0.587
2024-06-16,0.447
2024-06-17,0.667
2024-06-18,0.587
2024-06-19,0.643
2024-06-20,1.073
2024-06-21,0.71
2024-06-22,0.483
2024-06-23,0.533
2024-06-24,0.857
2024-06-25,0.933
2024-06-26,1.037
2024-06-27,0.423
2024-06-28,0.487
2024-06-29,0.71
2024-06-30,0.45
2024-07-01,0.623
2024-07-02,0.63
2024-07-03,0.8
2024-07-04,0.38
2024-07-05,0.783
2024-07-06,0.63
2024-07-07,0.52
2024-07-08,0.667
2024-07-09,0.71
2024-07-10,0.467
2024-07-11,0.793
2024-07-12,0.485
2024-07-13,0.5
2024-07-14,0.44
2024-07-15,0.985
2024-07-16,0.95
2024-07-17,1.29
2024-07-18,0.54
2024-07-19,0.565
2024-07-20,0.82
2024-07-21,0.487
2024-07-22,0.517
2024-07-23,0.665
2024-07-24,0.95
2024-07-25,0.597
2024-07-26,0.573
2024-07-27,1.057
2024-07-28,1.23
2024-07-29,1.253
2024-07-30,0.933
2024-07-31,0.947
2024-08-01,1.053
2024-08-02,0.92
2024-08-03,0.49
2024-08-04,0.22
2024-08-05,0.26
2024-08-06,0.607
2024-08-07,0.54
2024-08-08,0.677
2024-08-09,0.43
2024-08-10,0.737
2024-08-11,1.253
2024-08-12,0.917
2024-08-13,0.74
2024-08-14,0.91
2024-08-15,0.825
2024-08-16,0.84
2024-08-17,0.737
2024-08-18,0.663
2024-08-19,1.163
2024-08-20,0.447
2024-08-21,0.45
2024-08-22,0.453
2024-08-23,0.43
2024-08-24,0.613
2024-08-25,0.483
2024-08-26,0.807
2024-08-27,0.997
2024-08-28,1.117
2024-08-29,0.86
2024-08-30,1.095
2024-08-31,0.593
2024-09-01,0.6
2024-09-02,1.36
2024-09-03,0.465
2024-09-04,0.495
2024-09-05,0.73
2024-09-06,1.37
2024-09-07,1.47
2024-09-08,0.84
2024-09-09,0.5
2024-09-10,0.65
2024-09-11,0.6
2024-09-12,0.813
2024-09-13,1.41
2024-09-14,0.923
2024-09-15,0.803
2024-09-16,1.357
2024-09-17,1.393
2024-09-18,0.633
2024-09-19,0.93
2024-09-20,1.327
2024-09-21,1.33
2024-09-22,1.053
2024-09-23,1.253
2024-09-24,0.867
2024-09-25,1.007
2024-09-26,0.47
2024-09-27,0.563
2024-09-28,1.057
2024-09-29,0.75
2024-09-30,0.72
2024-10-01,0.753
2024-10-02,0.6
2024-10-03,1.547
2024-10-04,1.697
2024-10-05,0.997
2024-10-06,0.87
2024-10-07,0.743
2024-10-08,0.84
2024-10-09,0.61
2024-10-10,0.87
2024-10-11,1.89
2024-10-12,1.07
2024-10-13,0.76
2024-10-14,1.04
2024-10-15,1.073
2024-10-16,1.337
2024-10-17,1.26
2024-10-18,0.877
2024-10-19,1.19
2024-10-20,0.4
2024-10-21,0.977
2024-10-22,1.453
2024-10-23,1.073
2024-10-24,0.887
2024-10-25,1.833
2024-10-26,1.887
2024-10-27,0.79
2024-10-28,0.35
2024-10-29,0.77
2024-10-30,0.58
2024-10-31,1.893
2024-11-01,1.337
2024-11-02,1.623
2024-11-03,0.927
2024-11-04,1.353
2024-11-05,1.673
2024-11-06,1.8
2024-11-07,1.017
2024-11-08,1.92
2024-11-09,2.02
2024-11-10,1.587
2024-11-11,1.737
2024-11-12,1.397
2024-11-13,1.91
2024-11-14,2.69
2024-11-15,2.193
2024-11-16,0.907
2024-11-17,0.803
2024-11-18,1.11
2024-11-19,1.23
2024-11-20,1.163
2024-11-21,2.58
2024-11-22,1.177
2024-11-23,0.553
2024-11-24,0.393
2024-11-25,0.48
2024-11-26,2.25
2024-11-27,2.167
2024-11-28,2.275
2024-11-29,0.675
2024-11-30,1.067
2024-12-01,0.667
2024-12-02,0.663
2024-12-03,1.275
2024-12-04,0.725
2024-12-05,0.487
2024-12-06,0.623
2024-12-07,0.193
2024-12-08,0.233
2024-12-09,0.423
2024-12-10,0.39
2024-12-11,0.44
2024-12-12,0.923
2024-12-13,1.127
2024-12-14,0.847
2024-12-15,0.333
2024-12-16,0.67
2024-12-17,0.767
2024-12-18,0.583
2024-12-19,0.663
2024-12-20,0.963
2024-12-21,0.377
2024-12-22,0.243
2024-12-23,0.967
2024-12-24,1.58
2024-12-25,0.97
2024-12-26,0.87
2024-12-27,1.215
2024-12-28,0.997
2024-12-29,0.49
2024-12-30,0.44
2024-12-31,0.297
2025-01-01,0.423
2025-01-02,0.676
2025-01-03,1.05
2025-01-04,1.677
2025-01-05,0.95
2025-01-06,0.68
2025-01-07,0.837
2025-01-08,3.68
2025-01-09,2.105
2025-01-10,5.93
2025-01-11,5.51
2025-01-12,2.813
2025-01-13,3.124
2025-01-14,0.67
2025-01-15,1.565
2025-01-16,1.99
2025-01-17,1.313
2025-01-18,1.083
2025-01-19,1.45
2025-01-20,2.17
2025-01-21,1.663
2025-01-22,3.02
2025-01-23,1.07
2025-01-24,0.99
2025-01-25,0.997
2025-01-26,0.52
2025-01-27,0.48
2025-01-28,1.055
2025-01-29,1.197
2025-01-30,1.363
2025-01-31,0.64
2025-02-01,0.23
2025-02-02,0.177
2025-02-03,0.76
2025-02-04,0.443
2025-02-05,2.38
2025-02-06,2.07
2025-02-07,0.47
2025-02-08,1.24
2025-02-09,1.645
2025-02-10,1.025
2025-02-11,1.38
2025-02-12,1.93
2025-02-13,1.215
2025-02-14,1.17
2025-02-15,1.727
2025-02-16,1.27
2025-02-17,0.895
2025-02-18,1.16
2025-02-19,2.115
2025-02-20,0.69
2025-02-21,0.577
2025-02-22,0.963
2025-02-23,0.45
2025-02-24,0.735
2025-02-25,0.677
2025-02-26,0.63
2025-02-27,0.89
2025-02-28,2.315
2025-03-01,3.46
2025-03-02,3.345
2025-03-03,1.82
2025-03-04,1.75
2025-03-05,1.585
2025-03-06,2.09
2025-03-07,1.13
2025-03-08,1.85
2025-03-09,2.05
2025-03-10,2.257
2025-03-11,0.58
2025-03-12,0.84
2025-03-13,0.595
2025-03-14,0.73
2025-03-15,0.513
2025-03-16,0.577
2025-03-17,0.51
2025-03-18,0.657
2025-03-19,3.03
2025-03-20,4.245
2025-03-21,1.47
2025-03-22,0.795
2025-03-23,1.125
2025-03-24,1.775
2025-03-25,0.83
2025-03-26,1.117
2025-03-27,0.617
2025-03-28,0.467
2025-03-29,0.463
2025-03-30,0.47
2025-03-31,1.305
2025-04-01,0.48
2025-04-02,0.62
2025-04-03,1.175
2025-04-04,0.797
2025-04-05,0.41
2025-04-06,0.44
2025-04-07,0.673
2025-04-08,1.05
2025-04-09,0.975
2025-04-10,2.03
2025-04-11,0.911
2025-04-12,1.69
2025-04-13,0.683
2025-04-14,0.805
2025-04-15,0.855
2025-04-16,0.495
2025-04-17,1.0
2025-04-18,0.795
2025-04-19,1.32
2025-04-20,0.68
2025-04-21,1.33
2025-04-22,1.47
2025-04-23,0.42
2025-04-24,1.002
2025-04-25,0.833
2025-04-26,1.22
2025-04-27,0.82
2025-04-28,2.66
2025-04-29,1.97
2025-04-30,1.975
2025-05-01,2.51
2025-05-02,1.03
2025-05-03,0.5
2025-05-04,0.237
2025-05-05,0.33
2025-05-06,0.617
2025-05-07,0.857
2025-05-08,0.325
2025-05-09,0.77
2025-05-10,1.023
2025-05-11,0.8
2025-05-12,1.207
2025-05-13,0.603
2025-05-14,0.61
2025-05-15,0.46
2025-05-16,0.782
2025-05-18,0.736
2025-05-19,0.64
2025-05-20,0.64
2025-05-21,0.56
2025-05-22,0.52
2025-05-23,0.63
2025-05-24,0.603
2025-05-25,0.237
2025-05-26,0.307
2025-05-27,0.165
2025-05-28,0.27
2025-05-29,0.39
2025-05-30,0.58
2025-05-31,0.59
2025-06-01,0.333
2025-06-02,0.517
2025-06-03,0.367
2025-06-04,0.43
2025-06-05,0.62
2025-06-06,0.165
2025-06-07,0.235
2025-06-08,0.295
